Activity	mean	median	variance	distance	diff	sign	levels	trend	distance2	distance
discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous
class										
Empty-2	-52.9759259259	-52.95	0.20262678295	0.211111111111	-0.222222222222	-1.0	4	1.0	0.263640233727	0.211111111111
Empty-2	-52.9592592593	-52.9	0.204355858425	0.194444444444	0.122222222222	1.0	4	3.0	0.252518181719	0.194444444444
Empty-2	-53.0296296296	-53.0	0.202047136252	0.224074074074	0.3	1.0	4	3.0	0.276180593389	0.224074074074
Empty-2	-53.3796296296	-53.15	0.816660367827	0.490740740741	1.9	1.0	5	3.0	0.780774649626	0.490740740741
Empty-2	-53.3259259259	-53.05	0.84869301599	0.827777777778	-0.522222222222	-1.0	5	1.0	1.19414724985	0.827777777778
Empty-2	-53.2759259259	-52.95	0.859296774405	0.777777777778	0.222222222222	1.0	5	3.0	1.17845892253	0.777777777778
Empty-2	-53.3296296296	-53.05	0.831558604029	0.774074074074	0.2	1.0	5	3.0	1.17810966673	0.774074074074
Empty-2	-53.2796296296	-53.05	0.870657950914	0.807407407407	-0.6	-1.0	5	1.0	1.18937338691	0.807407407407
Empty-2	-53.2462962963	-53.0	0.878112922423	0.574074074074	-2.0	-1.0	5	1.0	0.949355423519	0.574074074074
Empty-2	-52.9296296296	-53.0	0.19983532315	0.22037037037	0.322222222222	1.0	4	3.0	0.282660784938	0.22037037037
Empty-2	-52.9166666667	-53.0	0.213697605664	0.25	-0.3	-1.0	4	1.0	0.313581462037	0.25
Empty-2	-52.95	-53.05	0.24289915603	0.316666666667	0.1	1.0	4	1.0	0.371931893407	0.316666666667
Empty-2	-52.95	-53.05	0.24289915603	0.25	0.5	1.0	4	1.0	0.313581462037	0.25
Empty-2	-53.3314814815	-53.1	0.782128045678	0.481481481481	1.88888888889	1.0	5	1.0	0.777830686031	0.481481481481
Empty-2	-53.3648148148	-53.15	0.769332456084	0.746296296296	0.1	1.0	5	-1.0	1.03862642753	0.746296296296
Empty-2	-53.3481481481	-53.15	0.777259086304	0.712962962963	0.3	1.0	5	-1.0	1.02895328172	0.712962962963
Empty-2	-53.3981481481	-53.15	0.735767564836	0.62962962963	-0.2	-1.0	5	-2.0	1.00850294462	0.62962962963
Empty-2	-53.4018518519	-53.15	0.734625685039	0.65	0.122222222222	1.0	5	0.0	1.01175193368	0.65
Empty-2	-53.4351851852	-53.2111111111	0.722629514785	0.364814814815	-1.58888888889	-1.0	5	0.0	0.70092531435	0.364814814815
Empty-2	-53.187037037	-53.2111111111	0.160925819375	0.1	0.2	1.0	4	2.0	0.132559482727	0.1
Empty-2	-53.187037037	-53.2111111111	0.160925819375	0.1	0.2	1.0	4	2.0	0.132559482727	0.1
Empty-2	-53.2425925926	-53.2611111111	0.139561335101	0.122222222222	0.333333333333	1.0	4	3.0	0.143300312016	0.122222222222
Empty-2	-53.2259259259	-53.2611111111	0.175635237426	0.157407407407	-0.322222222222	-1.0	4	1.0	0.208808101005	0.157407407407
Empty-2	-53.4888888889	-53.3166666667	0.665888434655	0.461111111111	1.5	1.0	5	1.0	0.802657622688	0.461111111111
Empty-2	-53.4555555556	-53.2666666667	0.682044855699	0.727777777778	-0.3	-1.0	5	-1.0	1.06031092575	0.727777777778
Empty-2	-53.3703703704	-53.15	0.721167320756	0.72962962963	-0.311111111111	-1.0	5	-1.0	1.06066987142	0.72962962963
Empty-2	-53.337037037	-53.05	0.735104482929	0.725925925926	-0.333333333333	-1.0	5	-1.0	1.06024300344	0.725925925926
Empty-2	-53.3148148148	-53.05	0.737251039097	0.687037037037	0.3	1.0	5	1.0	1.04856358735	0.687037037037
Empty-2	-53.3481481481	-53.1	0.719041428662	0.387037037037	-1.7	-1.0	7	-1.0	0.706742949528	0.387037037037
Empty-2	-53.0814814815	-53.1	0.120424489258	0.12037037037	0.1	1.0	6	1.0	0.139590818852	0.12037037037
Empty-2	-53.1203703704	-53.15	0.159073966283	0.107407407407	0.444444444444	1.0	5	3.0	0.122558460058	0.107407407407
Empty-2	-53.1555555556	-53.15	0.114826761625	0.127777777778	0.1	1.0	6	1.0	0.148448769065	0.127777777778
Empty-2	-53.1555555556	-53.15	0.114826761625	0.111111111111	-0.2	-1.0	6	-1.0	0.130526001383	0.111111111111
Empty-2	-53.4888888889	-53.15	0.845817597007	0.461111111111	2.1	1.0	7	1.0	0.90666258169	0.461111111111
Empty-2	-53.4907407407	-53.1555555556	0.84480742686	0.792592592593	-0.0888888888889	-1.0	5	-1.0	1.24403101598	0.792592592593
Empty-2	-53.4407407407	-53.1055555556	0.873835497886	0.805555555556	-0.433333333333	-1.0	5	-3.0	1.24582430114	0.805555555556
Empty-2	-53.4185185185	-53.1055555556	0.878794535367	0.816666666667	0.1	1.0	5	-1.0	1.2482003506	0.816666666667
Empty-2	-53.4185185185	-53.1055555556	0.878794535367	0.816666666667	0.1	1.0	5	-1.0	1.2482003506	0.816666666667
Empty-2	-53.4185185185	-53.1055555556	0.878794535367	0.466666666667	-2.2	-1.0	5	-3.0	0.867758097183	0.466666666667
Empty-2	-53.0351851852	-53.05	0.122407267328	0.135185185185	-0.211111111111	-1.0	4	-3.0	0.165613959373	0.135185185185
Empty-2	-53.0166666667	-53.0	0.116904519445	0.116666666667	0.1	1.0	4	-1.0	0.147196014439	0.116666666667
Empty-2	-53.05	-53.05	0.104880884817	0.0833333333333	-0.1	-1.0	4	-1.0	0.0912870929175	0.0833333333333
Empty-2	-52.9833333333	-53.0	0.116904519445	0.116666666667	-0.3	-1.0	4	-1.0	0.147196014439	0.116666666667
Empty-2	-53.2259259259	-53.0	0.659317517193	0.392592592593	1.55555555556	1.0	5	1.0	0.730522108796	0.392592592593
Empty-2	-53.2259259259	-53.0	0.659317517193	0.635185185185	0.1	1.0	5	1.0	0.967102924121	0.635185185185
Empty-2	-53.1759259259	-53.0	0.699149983615	0.685185185185	-0.4	-1.0	5	-1.0	0.979942889072	0.685185185185
Empty-2	-53.1425925926	-52.9	0.713828719182	0.701851851852	-0.3	-1.0	5	-1.0	0.982490745933	0.701851851852
Empty-2	-53.1259259259	-52.9	0.716185597942	0.685185185185	0.2	1.0	5	1.0	0.97824063119	0.685185185185
Empty-2	-53.1759259259	-53.0	0.699149983615	0.409259259259	-1.45555555556	-1.0	5	1.0	0.667052357568	0.409259259259
Empty-2	-52.8666666667	-52.9	0.19663841605	0.216666666667	-0.3	-1.0	4	1.0	0.261406452356	0.216666666667
Empty-2	-52.7833333333	-52.75	0.231660671385	0.183333333333	-0.1	-1.0	4	1.0	0.219848432638	0.183333333333
Empty-2	-52.85	-52.9	0.225831795813	0.233333333333	0.2	1.0	4	1.0	0.288675134595	0.233333333333
